Song Title,Artist,Release Date,Angella,Favorites,Pace: Upbeat,Pace: Medium,Pace: Slow,Sing-Along,Love Song,Processional Ideas,Recessional Ideas,First Dance,Father/Daughter,Mother/Son,Folk,Pop,Country,Rock,Indie,Alternative, Reggae,Soul,Funk,Punk,Acoustic,R&B,Children,Blues,Jazz,Dance,International,Rap,Religious,Vocal,Hip Hop,Singer-Songwriter,Bluegrass,Jam,Classical,Link
With A Little Help From My Friends,Beatles,6/1/1967,no,yes,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/7923723c-9c13-419f-8271-9aedaec2137c/
Yesterday,Beatles,8/6/1965,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/f27b432d-a341-42b4-b416-c902ac2d9ac6/
Meant To Be ,Bebe Rexha,10/24/2017,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/1fd86747-ae67-4c39-ac41-539a3f393c2a/
Steal My Kisses,Ben Harper,4/10/2000,no,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/bbf21822-e304-4483-bf60-c852b695d8db/
Stand By Me,Ben King,4/1/1961,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/a12dfd7c-844b-4995-8c88-4d1c4ba2456a/
Brand New,Ben Rector,1/1/2015,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/c80db8ab-93be-4b22-833e-43c28bbb0e35/
Ain't No Sunshine,Bill Withers,6/1/1971,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/08f1ffc9-36b3-49cc-a0c4-c33c0293c2fa/
Just the Two of Us,Bill Withers,2/1/1981,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/cf7e628c-9770-455d-8cb6-1145b3c91a89/
Lean On Me,Bill Withers,4/21/1972,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/c090ea26-1c3c-4800-b71d-70481fd6fa27/
Lovely Day,Bill Withers,8/1/1977,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/119c6f43-a332-4a63-88e7-d194992cb3c7/
Just The Way You Are,Billy Joel,9/1/1977,no,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/8b635def-601e-41c4-acfe-64c26a535230/
Piano Man,Billy Joel,11/2/1973,no,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/ca58ca90-9287-45e6-8fd7-998cb48a1cfd/
Vienna,Billy Joel,9/29/1977,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/094ac0f2-7164-433e-83cd-72898b2e5fdc/
